,Close,Date,High,Low,Open,Trades,Volume
0,2.7111,2015-01-01,2.7539,2.7111,2.7511,148,1319.76282396
1,2.664,2015-01-02,2.7289,2.66,2.71,156,3381.35665484
2,2.15,2015-01-03,2.6687,2.15,2.664,5162,201965.596886
3,1.9494,2015-01-04,2.2368,1.911,2.15,3916,113686.628312
4,2.1,2015-01-05,2.34,1.9494,1.9494,1849,75453.7211613
5,2.144,2015-01-06,2.1843,2.0702,2.1,958,16715.0458005
6,2.1537,2015-01-07,2.188,2.0861,2.145,1841,23961.7228448
7,2.0188,2015-01-08,2.1647,1.992,2.1537,1046,34144.1254446
8,2.0087,2015-01-09,2.025,1.9291,2.0188,811,13768.9123182
9,1.6652,2015-01-10,1.6779,1.6643,1.6644,28,307.57088122
10,1.7573,2015-01-11,1.8924,1.6636,1.6758,2983,91660.1256419
11,1.721,2015-01-12,1.835,1.6856,1.7705,1254,33179.1489439
12,1.5981,2015-01-13,1.725,1.5108,1.721,4431,108488.939516
13,1.189,2015-01-14,1.648,1.1,1.5717,9032,308849.204776
14,1.293,2015-01-15,1.6,1.189,1.192,4601,145308.067889
15,1.426,2015-01-16,1.56,1.273,1.295,3065,69352.9025453
16,1.2921,2015-01-17,1.4598,1.25,1.4153,2017,63258.3968537
17,1.355,2015-01-18,1.4277,1.24,1.301,1662,39175.7393062
18,1.332,2015-01-20,1.3451,1.329,1.342,104,1887.37026447
19,1.391,2015-01-21,1.4196,1.3285,1.335,1285,19292.9698795
20,1.4293,2015-01-22,1.49,1.385,1.3948,1730,39026.3771127
21,1.4523,2015-01-23,1.4775,1.39,1.4302,1042,23369.9170282
22,1.865,2015-01-24,1.93,1.437,1.4512,5593,187765.24192
23,2.27,2015-01-25,2.4,1.854,1.8651,13535,613937.729438
24,2.1066,2015-01-26,2.4395,1.98,2.2641,9043,371017.587104
25,2.1199,2015-01-27,2.153,1.881,2.1066,3209,91561.2754806
26,1.871,2015-01-28,2.168,1.871,2.11,1471,32334.7226824
